request: 1, response: 1, IP: 127.0.0.1, Port: 47216
request: 5, response: 120, IP: 127.0.0.1, Port: 47258
request: 6, response: 720, IP: 127.0.0.1, Port: 47258
request: 8, response: 40320, IP: 127.0.0.1, Port: 47240
request: 3, response: 6, IP: 127.0.0.1, Port: 47216
request: 4, response: 24, IP: 127.0.0.1, Port: 47216
request: 5, response: 120, IP: 127.0.0.1, Port: 47216
request: 6, response: 720, IP: 127.0.0.1, Port: 47216
request: 3, response: 6, IP: 127.0.0.1, Port: 47266
request: 6, response: 720, IP: 127.0.0.1, Port: 47210
request: 7, response: 5040, IP: 127.0.0.1, Port: 47216
request: 7, response: 5040, IP: 127.0.0.1, Port: 47218
request: 5, response: 120, IP: 127.0.0.1, Port: 47264
request: 6, response: 720, IP: 127.0.0.1, Port: 47264
request: 6, response: 720, IP: 127.0.0.1, Port: 47282
request: 4, response: 24, IP: 127.0.0.1, Port: 47266
request: 7, response: 5040, IP: 127.0.0.1, Port: 47258
request: 9, response: 362880, IP: 127.0.0.1, Port: 47240
request: 7, response: 5040, IP: 127.0.0.1, Port: 47264
request: 7, response: 5040, IP: 127.0.0.1, Port: 47246
request: 8, response: 40320, IP: 127.0.0.1, Port: 47246
request: 5, response: 120, IP: 127.0.0.1, Port: 47266
request: 8, response: 40320, IP: 127.0.0.1, Port: 47258
request: 9, response: 362880, IP: 127.0.0.1, Port: 47258
request: 8, response: 40320, IP: 127.0.0.1, Port: 47218
request: 7, response: 5040, IP: 127.0.0.1, Port: 47210
request: 8, response: 40320, IP: 127.0.0.1, Port: 47210
request: 7, response: 5040, IP: 127.0.0.1, Port: 47282
request: 8, response: 40320, IP: 127.0.0.1, Port: 47282
request: 4, response: 24, IP: 127.0.0.1, Port: 47230
request: 5, response: 120, IP: 127.0.0.1, Port: 47230
request: 10, response: 3628800, IP: 127.0.0.1, Port: 47240
request: 6, response: 720, IP: 127.0.0.1, Port: 47230
request: 8, response: 40320, IP: 127.0.0.1, Port: 47216
request: 9, response: 362880, IP: 127.0.0.1, Port: 47216
request: 9, response: 362880, IP: 127.0.0.1, Port: 47246
request: 9, response: 362880, IP: 127.0.0.1, Port: 47210
request: 10, response: 3628800, IP: 127.0.0.1, Port: 47216
request: 7, response: 5040, IP: 127.0.0.1, Port: 47230
request: 6, response: 720, IP: 127.0.0.1, Port: 47266
request: 8, response: 40320, IP: 127.0.0.1, Port: 47264
request: 9, response: 362880, IP: 127.0.0.1, Port: 47264
request: 10, response: 3628800, IP: 127.0.0.1, Port: 47264
request: 11, response: 39916800, IP: 127.0.0.1, Port: 47240
request: 12, response: 479001600, IP: 127.0.0.1, Port: 47240
request: 10, response: 3628800, IP: 127.0.0.1, Port: 47246
request: 11, response: 39916800, IP: 127.0.0.1, Port: 47246
request: 12, response: 479001600, IP: 127.0.0.1, Port: 47246
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 47246
request: 8, response: 40320, IP: 127.0.0.1, Port: 47230
request: 10, response: 3628800, IP: 127.0.0.1, Port: 47210
request: 10, response: 3628800, IP: 127.0.0.1, Port: 47258
request: 11, response: 39916800, IP: 127.0.0.1, Port: 47258
request: 12, response: 479001600, IP: 127.0.0.1, Port: 47258
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 47258
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 47258
request: 9, response: 362880, IP: 127.0.0.1, Port: 47282
request: 11, response: 39916800, IP: 127.0.0.1, Port: 47216
request: 12, response: 479001600, IP: 127.0.0.1, Port: 47216
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 47216
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 47246
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 47240
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 47240
request: 9, response: 362880, IP: 127.0.0.1, Port: 47218
request: 10, response: 3628800, IP: 127.0.0.1, Port: 47218
request: 11, response: 39916800, IP: 127.0.0.1, Port: 47218
request: 12, response: 479001600, IP: 127.0.0.1, Port: 47218
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 47218
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 47218
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 47218
request: 9, response: 362880, IP: 127.0.0.1, Port: 47230
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 47218
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 47240
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 47258
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 47216
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 47246
request: 10, response: 3628800, IP: 127.0.0.1, Port: 47282
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 47218
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 47246
request: 11, response: 39916800, IP: 127.0.0.1, Port: 47210
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 47216
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 47240
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 47240
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 47218
request: 10, response: 3628800, IP: 127.0.0.1, Port: 47230
request: 12, response: 479001600, IP: 127.0.0.1, Port: 47210
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 47218
request: 11, response: 39916800, IP: 127.0.0.1, Port: 47282
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 47216
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 47216
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 47246
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 47246
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 47210
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 47246
request: 12, response: 479001600, IP: 127.0.0.1, Port: 47282
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 47218
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 47210
request: 11, response: 39916800, IP: 127.0.0.1, Port: 47264
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 47246
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 47210
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 47210
request: 7, response: 5040, IP: 127.0.0.1, Port: 47266
request: 8, response: 40320, IP: 127.0.0.1, Port: 47266
request: 9, response: 362880, IP: 127.0.0.1, Port: 47266
request: 10, response: 3628800, IP: 127.0.0.1, Port: 47266
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 47216
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 47240
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 47240
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 47240
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 47210
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 47258
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 47258
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 47258
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 47258
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 47258
request: 11, response: 39916800, IP: 127.0.0.1, Port: 47230
request: 12, response: 479001600, IP: 127.0.0.1, Port: 47230
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 47230
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 47230
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 47230
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 47216
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 47216
request: 12, response: 479001600, IP: 127.0.0.1, Port: 47264
request: 11, response: 39916800, IP: 127.0.0.1, Port: 47266
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 47282
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 47282
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 47282
request: 12, response: 479001600, IP: 127.0.0.1, Port: 47266
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 47210
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 47282
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 47230
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 47282
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 47266
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 47210
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 47264
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 47264
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 47210
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 47266
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 47264
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 47282
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 47264
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 47282
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 47266
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 47266
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 47264
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 47266
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 47282
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 47264
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 47266
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 47264
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 47230
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 47266
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 47264
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 47266
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 47230
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 47230
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 47230
